query_id,user_id,query_text,target_event_id,is_high_memory_load,dense_target_rank,symmetric_target_rank,next_only_target_rank,dense_reciprocal_rank,symmetric_reciprocal_rank,next_only_reciprocal_rank,symmetric_rr_delta_vs_dense,next_only_rr_delta_vs_dense,next_only_rr_delta_vs_symmetric,symmetric_outcome_vs_dense,next_only_outcome_vs_dense,next_only_outcome_vs_symmetric,symmetric_first_reach_relation,next_only_first_reach_relation,dense_top1_event_id,symmetric_top1_event_id,next_only_top1_event_id,symmetric_top1_identical_to_dense,next_only_top1_identical_to_dense
tokyo_45189_relational_after,45189,Which Bowling Alley did I visit after 昭島温泉 湯楽の里?,2018_907314__event_003,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_907314__event_003,2018_907314__event_003,2018_907314__event_003,True,True
tokyo_45205_relational_after,45205,Which Ramen Restaurant did I visit after ドン・キホーテ?,2018_907559__event_002,True,9,7,7,0.1111111111,0.1428571429,0.1428571429,0.0317460317,0.0317460317,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_907560__event_003,2018_907560__event_003,2018_907560__event_003,True,True
tokyo_50046_relational_after,50046,Which Furniture / Home Store did I visit after スーパーオートバックス SA羽村店?,2018_1004059__event_002,True,4,5,5,0.2500000000,0.2000000000,0.2000000000,-0.0500000000,-0.0500000000,0.0000000000,worsened,worsened,unchanged,NEXT,NEXT,2018_1003995__event_001,2018_1003995__event_001,2018_1003995__event_001,True,True
tokyo_51031_relational_after,51031,Which Train Station did I visit after 西八王子駅 (Nishi-Hachiōji Sta.) (JC23)?,2018_1023518__event_002,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1023518__event_001,2018_1023518__event_001,2018_1023518__event_001,True,True
tokyo_51516_relational_after,51516,Which Rest Area did I visit after ヨドバシカメラ 八王子店?,2018_1033040__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1033040__event_001,2018_1033040__event_001,2018_1033040__event_001,True,True
tokyo_52894_relational_after,52894,Which Vape Store did I visit after 八王子駅 (Hachiōji Sta.)?,2018_1058960__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1058960__event_001,2018_1058960__event_001,2018_1058960__event_001,True,True
tokyo_53205_relational_after,53205,Which Convenience Store did I visit after イオンモール日の出?,2018_1065533__event_002,False,7,4,4,0.1428571429,0.2500000000,0.2500000000,0.1071428571,0.1071428571,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_1065533__event_001,2018_1065533__event_001,2018_1065533__event_001,True,True
tokyo_53405_relational_after,53405,Which Udon Restaurant did I visit after ガーデンステージ?,2018_1069059__event_003,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1069059__event_003,2018_1069059__event_003,2018_1069059__event_003,True,True
tokyo_55985_relational_after,55985,Which Ramen Restaurant did I visit after カラオケまねきねこ?,2018_1115816__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1115816__event_002,2018_1115816__event_002,2018_1115816__event_002,True,True
tokyo_59554_relational_after,59554,Which Supermarket did I visit after 南橋本3丁目交差点?,2018_1176858__event_002,False,6,3,3,0.1666666667,0.3333333333,0.3333333333,0.1666666667,0.1666666667,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_1176858__event_001,2018_1176858__event_001,2018_1176858__event_001,True,True
tokyo_60393_relational_after,60393,Which BBQ Joint did I visit after 昭島市役所?,2018_1190515__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1190515__event_002,2018_1190515__event_002,2018_1190515__event_002,True,True
tokyo_70564_relational_after,70564,Which Ramen Restaurant did I visit after 北原国際病院?,2018_1332637__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1332637__event_002,2018_1332637__event_002,2018_1332637__event_002,True,True
tokyo_70703_relational_after,70703,Which Chinese Restaurant did I visit after アリオ橋本?,2018_1335107__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1335107__event_001,2018_1335107__event_001,2018_1335107__event_001,True,True
tokyo_72210_relational_after,72210,Which Ramen Restaurant did I visit after バーガーキング (Burger King)?,2018_1357875__event_003,False,3,4,4,0.3333333333,0.2500000000,0.2500000000,-0.0833333333,-0.0833333333,0.0000000000,worsened,worsened,unchanged,NEXT,NEXT,2018_1357866__event_001,2018_1357866__event_001,2018_1357866__event_001,True,True
tokyo_72444_relational_after,72444,Which Bus Station did I visit after マクドナルド?,2018_1361355__event_005,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1361355__event_004,2018_1361355__event_004,2018_1361355__event_004,True,True
tokyo_74188_relational_after,74188,Which Government Building did I visit after 羽村市役所?,2018_1388327__event_003,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1388327__event_003,2018_1388327__event_003,2018_1388327__event_003,True,True
tokyo_74982_relational_after,74982,Which Korean Restaurant did I visit after ロイヤルホスト?,2018_1402558__event_002,False,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1402558__event_001,2018_1402558__event_001,2018_1402558__event_001,True,True
tokyo_78286_relational_after,78286,Which Fire Station did I visit after イオンモール日の出?,2018_1453204__event_002,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1453204__event_001,2018_1453204__event_001,2018_1453204__event_001,True,True
tokyo_79139_relational_after,79139,Which Udon Restaurant did I visit after メディアホール?,2018_1466945__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1466945__event_002,2018_1466945__event_002,2018_1466945__event_002,True,True
tokyo_79719_relational_after,79719,Which Trade School did I visit after マクドナルド?,2018_1475337__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1475337__event_002,2018_1475337__event_002,2018_1475337__event_002,True,True
tokyo_80051_relational_after,80051,Which Gas Station did I visit after 五ノ神社?,2018_1480024__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1480024__event_002,2018_1480024__event_002,2018_1480024__event_002,True,True
tokyo_80415_relational_after,80415,Which Train Station did I visit after 高尾駅 (Takao Sta.)?,2018_1485522__event_003,False,2,3,2,0.5000000000,0.3333333333,0.5000000000,-0.1666666667,0.0000000000,0.1666666667,worsened,unchanged,improved,NEXT,NEXT,2018_1485522__event_002,2018_1485522__event_002,2018_1485522__event_002,True,True
tokyo_80480_relational_after,80480,Which Chinese Restaurant did I visit after 麺や 樽座?,2018_1486542__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1486542__event_001,2018_1486542__event_001,2018_1486542__event_001,True,True
tokyo_86988_relational_after,86988,Which Bike Shop did I visit after からやま?,2018_1596296__event_002,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1596296__event_001,2018_1596296__event_001,2018_1596296__event_001,True,True
tokyo_88625_relational_after,88625,Which Spa did I visit after 拝島駅 (Haijima Sta.)?,2018_1619235__event_004,False,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1619235__event_003,2018_1619235__event_003,2018_1619235__event_003,True,True
tokyo_88793_relational_after,88793,Which Nightclub did I visit after 福島商店?,2018_1621573__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1621573__event_002,2018_1621573__event_002,2018_1621573__event_002,True,True
